id_immobile;CAMPO_SPCDATA;Comune;Indirizzo;uri_indirizzi_torino;Perc_possesso;Descrizione;Note;Destinazione d'uso;id_affitti
00001;;Cerano Novarese;Localita' Molino Vecchio;;100;Terreni (Ex Gioventu' Italiana);;;00001_aff
00002;Comune/L219;Torino;Viale Settimio Severo n. 65;105365;100;"Complesso ex Opera Universitaria dell'Universita' di Torino denominato   ""Villa Gualino""";;;00002_aff
00003;Comune/A182;Alessandria;Frazione San Michele, Via O. Remotti n. 67;;100;Terreni con entrostanti fabbricati;;;00003_aff
00004;Comune/A182;Alessandria;Via Amendola n. 1;;100;Fabbricato ad uso uffici;;;00004_aff
00005;Comune/A182;Alessandria;Via Guasco ang. Piazza Libertà;;100;Fabbricato ad uso uffici e commerciale;;;00005_aff
00006;;Carpeneto e Roccagrimalda;Carpeneto e Roccagrimalda;;100;"Azienda Agricola ""La Cannona""";;;00006_aff
00007;Comune/B847;Cartosio;Località Arbiglia;;100;Terreni e fabbricato;;;00007_aff
00008;Comune/F281;Molare;Molare;;100;Terreni boscati;;;00008_aff
00009;Comune/F965;Novi Ligure;Via Edilio Raggio n. 95;;100;"Quota indivisa del 35% dell'immobile del ""Centro di Assistenza e Pronto Intervento""";;;00009_aff
00010;Comune/L881;Vignale Monferrato;Via Aldo Bergamaschino;;100;"Fabbricato denominato ""Palazzo Callori""";;;00010_aff
00011;Comune/B306;Buttigliera d'Asti;Via Riva n. 6;;100;"Terreni con entrostante fabbricato ad uso sociale denominato ""Ex Colonia Maffei""";;;00011_aff
00012;Comune/A859;Biella;Via Ivrea n. 20;;100;"Porzione di fabbricato ad uso uffici, denominato ""Ex Macello""";;;00012_aff
00013;Comune/H662;Sagliano Micca;Via Giuseppe Verdi;;100;"Terreni e fabbricati denominato  ""Incubatoio ittico""";;;00013_aff
00014;Comune/D271;Demonte;Località Castello;;100;Terreno con annessi fabbricati;;;00014_aff
00015;Comune/D742;Fossano;Via Mondovì n. 19;;100;Complesso immobiliare;;;00015_aff
00016;Comune/C497;Ceres;P.zza IV Novembre n. 4;;100;"Terreni con entrostante fabbricato denominato ""Ex Colonia Montana Villa Broglia""";;;00016_aff
000171;Comune/D373;Druento;Druento;;100;"Tenuta ""I Laghi""";;;000171_aff
000172;Comune/L727;Venaria Reale;Venaria Reale;;100;"Tenuta ""La Mandria""";;;000172_aff
000181;Comune/D933;Gassino Torinese;Gassino Torinese;;100;Terreni - opere di compensazione ambientale;;;000181_aff
000182;Comune/I703;Settimo Torinese;Settimo Torinese;;100;Terreni - opere di compensazione ambientale;;;000182_aff
00019;Comune/F335;Moncalieri;Località Vallere, C.so Trieste;;100;Terreni con entrostante fabbricato;;;00019_aff
00020;Comune/G087;Orbassano;Strada Rivalta n. 50;;100;"Terreno con entrostante fabbricato ad uso ufficio denominato ""Istituto Ceppi""";;;00020_aff
00021;Comune/G087;Orbassano;Orbassano;;100;"Terreni ""Interporto Torino - Orbassano""";;;00021_aff
00022;;Rivalta;Rivalta;;100;"Terreni ""Interporto Torino - Orbassano""";;;00022_aff
00023;Comune/E216;Grugliasco;Grugliasco;;100;"Terreni ""Interporto Torino - Orbassano""";;;00023_aff
00024;Comune/H355;Rivoli;Rivoli;;100;"Terreni ""Interporto Torino - Orbassano""";;;00024_aff
00025;Comune/L219;Torino;Torino;;100;"Terreni ""Interporto Torino - Orbassano""";;;00025_aff
00026;Comune/H555;Roure;Borgo Selleries;;100;"Complesso Immobiliare denominato ""Albergo Rifugio Selleries""";;;00026_aff
00027;;San Bernardino di Trana;Strada Giaveno n. 40;;100;Giardino Botanico Rea;;;00027_aff
00028;Comune/I466;Sauze d'Oulx;Via Richardette n. 63;;100;"Complesso Immobiliare denominato ""Stazione Sperimentale Alpina""";;;00028_aff
00029;Comune/L219;Torino;Piazza Castello n. 161/165;;100;Fabbricato ad uso uffici;;;00029_aff
00030;Comune/L219;Torino;Via Garibaldi n. 2;29823;100;Fabbricato ad uso uffici;;;00030_aff
00031;Comune/L219;Torino;Via Garibaldi  4;29796;100;Unità Immobiliare;;;00031_aff
00032;Comune/L219;Torino;Via XX Settembre 74;113857;100;Unità Immobiliare;;;00032_aff
00033;Comune/L219;Torino;Via Palazzo di Città 7;79505;100;Unità Immobiliare;;;00033_aff
00034;Comune/L219;Torino;Via Farinelli n. 25;47033;100;"Complesso  ospedaliero denominato ""Presidio Sanitario Vittorio Valletta""";;;00034_aff
00035;Comune/L219;Torino;Via Maria Vittoria n.  35;67285;100;Unità Immobiliare;;;00035_aff
00036;Comune/L277;Torre Pellice;Corso Jacopo Lombardini;;100;Impianto olimpico Palaghiaccio;;;00036_aff
00037;Comune/L727;Venaria Reale;Venaria Reale;;100;Parte del Compendio della Ferrovia Torino -Ceres;;;00037_aff
00038;Comune/L727;Venaria Reale;Venaria Reale;;100;Terreno;;;00038_aff
00039;Comune/L727;Venaria Reale;Via XX Settembre n. 7;;100;"Fabbricato denominato ""Galoppatoio La Marmora""";;;00039_aff
00040;Comune/L727;Venaria Reale;Viale Carlo Emanuele II n. 135/A;;100;"Complesso immobiliare denominato ""Cascina Parco Basso""";;;00040_aff
00041;Comune/M007;Villar Focchiardo;Via Montebenedetto;;100;Complesso monumentale della Certosa di Montebenedetto;;;00041_aff
00042;Comune/M013;Villar Pellice;Piazza Jervis n. 1;;100;"Complesso  immobiliare ad uso ricettivo denominato  ""La Crumiere""";;;00042_aff
00043;Comune/C478;Ceppo Morelli;Via Pianale n. 4;;100;Terreno e fabbricato;;;00043_aff
00044;Comune/L746;Verbania;Via Vittorio Veneto;;100;"Terreno con entrostante fabbricato ad uso uffici denominato ""Villa San Remigio""";;;00044_aff
00045;Comune/A130;Albano Vercellese;Via XX Settembre n. 2-4;;100;"Terreno con entrostante fabbricato ""Parco Naturale del Lame del Sesia""";;;00045_aff
00046;Comune/G018;Oldenico;Oldenico;;100;"Terreno  ""l'Isolone""";;;00046_aff
