ENTE;ID
Amministrazione/c_a271;ComunediANCONA4164042004
Amministrazione/c_a271;ComunediANCONA4200542094
Amministrazione/c_a271;ComunediANCONA4200542369
Amministrazione/c_a271;ComunediANCONA4209542185
Amministrazione/c_a271;ComunediANCONA4218642277
Amministrazione/c_a271;ComunediANCONA4227842369
Amministrazione/c_a271;ComunediANCONA4237042460
Amministrazione/c_a285;ComunediANDRIA4164042004
Amministrazione/c_a285;ComunediANDRIA4200542094
Amministrazione/c_a285;ComunediANDRIA4200542369
Amministrazione/c_a285;ComunediANDRIA4209542185
Amministrazione/c_a285;ComunediANDRIA4218642277
Amministrazione/c_a285;ComunediANDRIA4227842369
Amministrazione/c_a285;ComunediANDRIA4237042460
Amministrazione/c_a662;ComunediBARI4127541639
Amministrazione/c_a662;ComunediBARI4164042004
Amministrazione/c_a662;ComunediBARI4200542094
Amministrazione/c_a662;ComunediBARI4200542369
Amministrazione/c_a662;ComunediBARI4209542185
Amministrazione/c_a662;ComunediBARI4218642277
Amministrazione/c_a662;ComunediBARI4227842369
Amministrazione/c_a662;ComunediBARI4237042460
Amministrazione/c_a794;ComunediBERGAMO4127541639
Amministrazione/c_a794;ComunediBERGAMO4164042004
Amministrazione/c_a794;ComunediBERGAMO4200542094
Amministrazione/c_a794;ComunediBERGAMO4200542369
Amministrazione/c_a794;ComunediBERGAMO4209542185
Amministrazione/c_a794;ComunediBERGAMO4218642277
Amministrazione/c_a794;ComunediBERGAMO4227842369
Amministrazione/c_a794;ComunediBERGAMO4237042460
Amministrazione/c_a944;ComunediBOLOGNA4164042004
Amministrazione/c_a944;ComunediBOLOGNA4200542094
Amministrazione/c_a944;ComunediBOLOGNA4200542369
Amministrazione/c_a944;ComunediBOLOGNA4209542185
Amministrazione/c_a944;ComunediBOLOGNA4218642277
Amministrazione/c_a944;ComunediBOLOGNA4227842369
Amministrazione/c_a944;ComunediBOLOGNA4237042460
Amministrazione/c_a952;ComunediBOLZANO4127541639
Amministrazione/c_a952;ComunediBOLZANO4164042004
Amministrazione/c_a952;ComunediBOLZANO4200542094
Amministrazione/c_a952;ComunediBOLZANO4200542369
Amministrazione/c_a952;ComunediBOLZANO4209542185
Amministrazione/c_a952;ComunediBOLZANO4218642277
Amministrazione/c_a952;ComunediBOLZANO4227842369
Amministrazione/c_a952;ComunediBOLZANO4237042460
Amministrazione/c_b157;ComunediBRESCIA4164042004
Amministrazione/c_b157;ComunediBRESCIA4200542369
Amministrazione/c_b157;ComunediBRESCIA4237042460
Amministrazione/c_b354;ComunediCAGLIARI4127541639
Amministrazione/c_b354;ComunediCAGLIARI4164042004
Amministrazione/c_b354;ComunediCAGLIARI4200542094
Amministrazione/c_b354;ComunediCAGLIARI4200542369
Amministrazione/c_b354;ComunediCAGLIARI4209542185
Amministrazione/c_b354;ComunediCAGLIARI4218642277
Amministrazione/c_b354;ComunediCAGLIARI4227842369
