Cod. Sede;Cod. Scuola;Grado Scolastico;Cod. MIUR;Denominazione1;Denominazione2;Indirizzo;Frazione;Comune;Provincia;Tipo Unit… Scolastica;Sezione Scolastica;Tipo Insegnamento;Specializzazione;Codice Specializzazione;Anno di Corso;Classi;Maschi;Femmine
001013A324;0010134001;Scuola secondaria di II grado;TOTD05000T;I.T. GEOMETRI / I.T. SETT. TECNOLOGICO;G. GALILEI;VIA G. B. NICOL 35;;AVIGLIANA;TORINO;Sede centrale;DIURNA;I.T. GEOMETRI / I.T. SETT. TECNOLOGICO;COSTRUZIONI, AMBIENTE E TERRITORIO;2TCCOS00;III anno;2;46;10
001013A324;0010134001;Scuola secondaria di II grado;TOTD05000T;I.T. GEOMETRI / I.T. SETT. TECNOLOGICO;G. GALILEI;VIA G. B. NICOL 35;;AVIGLIANA;TORINO;Sede centrale;DIURNA;I.T. GEOMETRI / I.T. SETT. TECNOLOGICO;COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO;2TCCOSNN;I anno;3;55;10
001013A324;0010134001;Scuola secondaria di II grado;TOTD05000T;I.T. GEOMETRI / I.T. SETT. TECNOLOGICO;G. GALILEI;VIA G. B. NICOL 35;;AVIGLIANA;TORINO;Sede centrale;DIURNA;I.T. GEOMETRI / I.T. SETT. TECNOLOGICO;COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO;2TCCOSNN;II anno;3;58;8
001013A324;0010134001;Scuola secondaria di II grado;TOTD05000T;I.T. GEOMETRI / I.T. SETT. TECNOLOGICO;G. GALILEI;VIA G. B. NICOL 35;;AVIGLIANA;TORINO;Sede centrale;DIURNA;I.T. GEOMETRI / I.T. SETT. TECNOLOGICO;INDIRIZZO GENERALE;225GG00;IV anno;3;44;9
001013A324;0010134001;Scuola secondaria di II grado;TOTD05000T;I.T. GEOMETRI / I.T. SETT. TECNOLOGICO;G. GALILEI;VIA G. B. NICOL 35;;AVIGLIANA;TORINO;Sede centrale;DIURNA;I.T. GEOMETRI / I.T. SETT. TECNOLOGICO;INDIRIZZO GENERALE;225GG00;V anno;3;54;12
001013A324;0010134004;Scuola secondaria di II grado;TOTD05000T;I.T. COMMERCIALE / I.T. SETT ECONOMICO;G. GALILEI;VIA G. B. NICOL 35;;AVIGLIANA;TORINO;Scuola coordinata;DIURNA;I.T. COMMERCIALE / I.T. SETT ECONOMICO;AMMINISTRAZIONE, FINANZA E MARKETING - ART. SISTEMI INFORMATIVI AZIENDALI;2ECAFM22;III anno;1;9;11
001013A324;0010134004;Scuola secondaria di II grado;TOTD05000T;I.T. COMMERCIALE / I.T. SETT ECONOMICO;G. GALILEI;VIA G. B. NICOL 35;;AVIGLIANA;TORINO;Scuola coordinata;DIURNA;I.T. COMMERCIALE / I.T. SETT ECONOMICO;PROGETTO MERCURIO;224PP01;IV anno;1;12;4
001013A324;0010134004;Scuola secondaria di II grado;TOTD05000T;I.T. COMMERCIALE / I.T. SETT ECONOMICO;G. GALILEI;VIA G. B. NICOL 35;;AVIGLIANA;TORINO;Scuola coordinata;DIURNA;I.T. COMMERCIALE / I.T. SETT ECONOMICO;PROGETTO MERCURIO;224PP01;V anno;2;19;13
001013A324;0010134005;Scuola secondaria di II grado;TOTD05000T;I.T. COMMERCIALE / I.T. SETT ECONOMICO;G. GALILEI;VIA NICOL ANG.VIA DEL BRUTTO;;AVIGLIANA;TORINO;Succursale;DIURNA;I.T. COMMERCIALE / I.T. SETT ECONOMICO;AMMINISTRAZIONE, FINANZA E MARKETING  ;2ECAFM20;III anno;1;11;16
001013A324;0010134005;Scuola secondaria di II grado;TOTD05000T;I.T. COMMERCIALE / I.T. SETT ECONOMICO;G. GALILEI;VIA NICOL ANG.VIA DEL BRUTTO;;AVIGLIANA;TORINO;Succursale;DIURNA;I.T. COMMERCIALE / I.T. SETT ECONOMICO;AMMINISTRAZIONE, FINANZA E MARKETING - BIENNIO;2ECAFMN1;I anno;3;31;30
001013A324;0010134005;Scuola secondaria di II grado;TOTD05000T;I.T. COMMERCIALE / I.T. SETT ECONOMICO;G. GALILEI;VIA NICOL ANG.VIA DEL BRUTTO;;AVIGLIANA;TORINO;Succursale;DIURNA;I.T. COMMERCIALE / I.T. SETT ECONOMICO;AMMINISTRAZIONE, FINANZA E MARKETING - BIENNIO;2ECAFMN1;II anno;3;38;28
001013A324;0010134005;Scuola secondaria di II grado;TOTD05000T;I.T. COMMERCIALE / I.T. SETT ECONOMICO;G. GALILEI;VIA NICOL ANG.VIA DEL BRUTTO;;AVIGLIANA;TORINO;Succursale;DIURNA;I.T. COMMERCIALE / I.T. SETT ECONOMICO;INDIRIZZO I.G.E.A. (GIURIDICO ECONOMICO AZIENDALE);224ZZ01;IV anno;2;17;19
001013A324;0010134005;Scuola secondaria di II grado;TOTD05000T;I.T. COMMERCIALE / I.T. SETT ECONOMICO;G. GALILEI;VIA NICOL ANG.VIA DEL BRUTTO;;AVIGLIANA;TORINO;Succursale;DIURNA;I.T. COMMERCIALE / I.T. SETT ECONOMICO;INDIRIZZO I.G.E.A. (GIURIDICO ECONOMICO AZIENDALE);224ZZ01;V anno;2;18;20
0010224001;0010224001;Scuola secondaria di II grado;TOTD08500R;I.T. COMMERCIALE / I.T. SETT ECONOMICO;FREJUS;VIA GENOVA 4;;BARDONECCHIA;TORINO;Sede centrale;DIURNA;I.T. COMMERCIALE / I.T. SETT ECONOMICO;AMMINISTRAZIONE, FINANZA E MARKETING  ;2ECAFM20;III anno;1;9;1
0010224001;0010224001;Scuola secondaria di II grado;TOTD08500R;I.T. COMMERCIALE / I.T. SETT ECONOMICO;FREJUS;VIA GENOVA 4;;BARDONECCHIA;TORINO;Sede centrale;DIURNA;I.T. COMMERCIALE / I.T. SETT ECONOMICO;AMMINISTRAZIONE, FINANZA E MARKETING - BIENNIO;2ECAFMN1;I anno;1;4;0
