CEM;Codice Edificio Regione Piemonte;V_PRO;Ente di competenza;Comune;Cod Comune;Stato esistenza edificio;Stato compilazione;Edificio principale;V_USO;Flag Statale;Frazione o Localita`;V_INDIRIZZO;Ente proprietario edificio;Ente proprietario edificio;GRADO;C_SO1;GRA_SO1;DENO SO1;COD_SEDEM_SO1;COD_SEDERP_SO1;C_SO2;GRA_SO2;DENO SO2;COD_SEDEM_SO2;COD_SEDERP_SO2;C_SO3;GRA_SO3;DENO SO3;COD_SEDEM_SO3;COD_SEDERP_SO3;C_SO4;GRA_SO4;DENO SO4;COD_SEDEM_SO4;COD_SEDERP_SO4;C_SO5;GRA_SO5;DENO SO5;COD_SEDEM_SO5;COD_SEDERP_SO5;C_SO6;GRA_SO6;DENO SO6;COD_SEDEM_SO6;COD_SEDERP_SO6
AL000003;0060030034;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Valmadonna;Via della Chiesa, 5;06. Enti religiosi;Si;INF-;1;INF;ELSA MALPAGANTI;ALAA828039;0060031048;;;;;;;;;;;;;;;;;;;;;;;;;
AL000004;0060030032;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Capoluogo;Via De Gasperi, 21;04. Comune;Si;INF-PRI-;1;INF;GIANNI RODARI;ALAA82501Q;0060031019;2;PRI;VILLAGGIO EUROPA;ALEE825022;0060032005;;;;;;;;;;;;;;;;;;;;
AL000005;0060030030;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Capoluogo;Via Sclavo, 11;04. Comune;Si;INF-PRI-;1;INF;VIA SCLAVO;ALAA82701B;0060031024;2;PRI;VIA SCLAVO;ALEE82701L;0060032034;;;;;;;;;;;;;;;;;;;;
AL000007;0060030011;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Corso Monferrato, 1;04. Comune;Si;INF-;1;INF;GOBETTI;ALAA828017;0060031027;;;;;;;;;;;;;;;;;;;;;;;;;
AL000008;0060030015;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Benedetto Croce, 13/A;04. Comune;Si;INF-;1;INF;MARY POPPINS;ALAA828028;0060031026;;;;;;;;;;;;;;;;;;;;;;;;;
AL000009;0060190001;AL;Comune;Borgoratto Alessandrino;006019;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Piazza Roma, 7;04. Comune;Si;PRI-;2;PRI;G. MAZZINI;ALEE81503C;0060192001;;;;;;;;;;;;;;;;;;;;;;;;;
AL000010;0060780001;AL;Comune;Gamalero;006078;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Piazza A. Moro, 5;04. Comune;Si;INF-;1;INF;GAMALERO;ALAA815015;0060781001;;;;;;;;;;;;;;;;;;;;;;;;;
AL000012;0060030038;AL;Comune;Alessandria;006003;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;San Giuliano Vecchio;Via Ghilina, 3;04. Comune;Si;INF-;1;INF;DI SAN GIULIANO VECCHIO;ALAA81702T;0060031041;;;;;;;;;;;;;;;;;;;;;;;;;
AL000014;0060510003;AL;Comune;Castelletto Monferrato;006051;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;PIAZZA ASTORI, 1;04. Comune;Si;PRI-;2;PRI;DI CASTELLETTO MONFERRATO;ALEE03602D;0060512001;;;;;;;;;;;;;;;;;;;;;;;;;
AL000015;0060010017;AL;Comune;Acqui Terme;006001;Utilizzato per uso scolastico;Validato;Unico;IMP-SPORTIVO;SI;;Piazzale FACELLI, ;04. Comune;Si;INF-SEC 1-;1;INF;VIA A. MORO;ALAA837012;0060011007;3;SEC 1;G. BELLA;ALMM83601A;0060013001;;;;;;;;;;;;;;;;;;;;
AL000016;0060010004;AL;Comune;Acqui Terme;006001;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via SAN DEFENDENTE, 29;04. Comune;Si;PRI-;2;PRI;VIA SAN DEFENDENTE;ALEE83704A;0060012004;;;;;;;;;;;;;;;;;;;;;;;;;
AL000018;0061120001;AL;Comune;Morsasco;006112;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;Via MATTEOTTI, 10;04. Comune;Si;INF-PRI-;1;INF;M. BOCCACCIO;ALAA837023;0061121001;2;PRI;L. DA VINCI;ALEE837039;0061122001;;;;;;;;;;;;;;;;;;;;
AL000020;0060090002;AL;Comune;Arquata Scrivia;006009;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Capoluogo;Via Regonca, 20;04. Comune;Si;INF-PRI-;1;INF;MARE';ALAA81301D;0060091003;2;PRI;G. PASCOLI;ALEE81301P;0060092001;;;;;;;;;;;;;;;;;;;;
AL000022;0061480001;AL;Comune;Rocchetta Ligure;006148;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;Strada Privata, 1;04. Comune;Si;INF-PRI-SEC 1-;1;INF;DON ORIONE;ALAA81302E;0061481001;2;PRI;G. PASCOLI;ALEE81303R;0061482001;3;SEC 1;DON ORIONE;ALMM81302P;0061483001;;;;;;;;;;;;;;;
AL000023;0060180002;AL;Comune;Borghetto Di Borbera;006018;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;Via ROMA, ;07. SocietÖ, fondazione o persone private ;Si;INF-;1;INF;DON PIO BRUNO;ALAA81303G;0060181002;;;;;;;;;;;;;;;;;;;;;;;;;
AL000024;0060390004;AL;Comune;Casale Monferrato;006039;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;Via G. DEL CARRETTO, 3;04. Comune;Si;INF-PRI-;1;INF;MARTIRI DELLA LIBERTA';ALAA83201V;0060391009;2;PRI;MARTIRI DELLA LIBERTA';ALEE832025;0060392001
AL000025;0061780002;AL;Comune;Valmacca;006178;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Piazza Bisio, 21;04. Comune;Si;INF-;1;INF;MARCHESA TARSILLA DI BISIO;ALAA82203A;0061781002;;;;;
AL000026;0061730003;AL;Comune;Ticineto;006173;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;via pasino, 25;04. Comune;Si;INF-;1;INF;VITTORIO VENETO;ALAA822018;0061731002;;;;;
AL000027;0060390026;AL;Comune;Casale Monferrato;006039;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;via Piacibello, 23;04. Comune;Si;INF-;1;INF;VENESIO;ALAA83303R;0060391021;;;;;
AL000028;0060390027;AL;Comune;Casale Monferrato;006039;Utilizzato per uso scolastico;Attesa Validazione per Modifica;No;DIDATTICA;SI;capoluogo;Via G. DEL CARRETTO, 3;04. Comune;Si;INF-PRI-;1;INF;MARTIRI DELLA LIBERTA';ALAA83201V;0060391009;2;PRI;MARTIRI DELLA LIBERTA';ALEE832025;0060392001
AL000029;0060730002;AL;Comune;Frassineto Po;006073;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Capoluogo;Via Po, 1;04. Comune;Si;PRI-;2;PRI;GREPPI ALFIERI;ALEE82204L;0060732001;;;;;
AL000030;0060390028;AL;Comune;Casale Monferrato;006039;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Piazzale DUCA D`AOSTA, 4;04. Comune;Si;INF-PRI-;1;INF;PETER PAN;ALAA824032;0060391019;2;PRI;IV NOVEMBRE;ALEE824037;0060392011
AL000031;0060390031;AL;Comune;Casale Monferrato;006039;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;FRAZIONE SAN GERMANO;Strada TERRUGGIA, 2/D;04. Comune;Si;INF-;1;INF;GIANNI RODARI;ALAA83302Q;0060391028;;;;;
AL000033;0060390022;AL;Comune;Casale Monferrato;006039;Utilizzato per uso scolastico;Attesa Validazione per Modifica;No;MENSA;SI;capoluogo;Via ITALO ROSSI, 3;04. Comune;Si;PRI-;2;PRI;XXV APRILE;ALEE833021;0060392017;;;;;
AL000034;0060390011;AL;Comune;Casale Monferrato;006039;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Rosselli, 30;04. Comune;Si;INF-;1;INF;DI VIA ROSSELLI;ALAA83301P;0060391022;;;;;
AL000035;0061090002;AL;Comune;Morano Sul Po;006109;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via G.P.GALLO, 2;04. Comune;Si;INF-;1;INF;G. P. GALLO;ALAA824054;0061091001;;;;;
AL000036;0061330001;AL;Comune;Pontestura;006133;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Corso XVII Ottobre, 1;04. Comune;Si;INF-;1;INF;PONTESTURA;ALAA811041;0061331001;;;;;
AL000037;0060110002;AL;Comune;Balzola;006011;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via ROMA, 71;04. Comune;Si;PRI-;2;PRI;E. DE AMICIS;ALEE824048;0060112001;;;;;
AL000038;0060390005;AL;Comune;Casale Monferrato;006039;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;Frazione Casale Popolo;Cantone Chiesa, 104/b;04. Comune;Si;PRI-;2;PRI;G. VERNE;ALEE833032;0060392003;;;;;
AL000039;0060430002;AL;Comune;Cassine;006043;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Vicolo DEI FORNAI, 2;04. Comune;Si;INF-;1;INF;DI CASSINE;ALAA80902V;0060431002;;;;;
AL000040;0061680002;AL;Comune;Strevi;006168;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;STREVI;Piazza PIAZZA MATTEOTTI, 8;04. Comune;Si;INF-;1;INF;DI STREVI;ALAA80903X;0061681001;;;;;
AL000041;0061440002;AL;Comune;Rivalta Bormida;006144;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;PIAZZA MARCONI GUGLIELMO, 5;04. Comune;Si;INF-;1;INF;DI RIVALTA B.DA;ALAA80901T;0061441002;;;;;
AL000042;0060150001;AL;Comune;Bergamasco;006015;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via F. Cavallotti, 15;04. Comune;Si;INF-;1;INF;DI BERGAMASCO;ALAA816022;0060151002;;;;;
AL000043;0060210002;AL;Comune;Bosco Marengo;006021;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;Capoluogo;Via Ghiare , 1;04. Comune;Si;INF-PRI-;1;INF;DI BOSCO MARENGO;ALAA816033;0060211002;2;PRI;PIO BOGGIANI;ALEE816049;0060212001
